,Drop Off Location,Stake,Route Information,Time Spent,Total Adult Volunteers,Total Youth Volunteers,Number of Doors,Number of Donation Bags,Number of Routes,Ward,Year,Latitude,Longitude
745,Riverbend Stake Centre,Riverbend Stake,Route Unknown,75,2.0,0.0,285.0,44.0,1.0,Terwillegar Park Ward,2023,53.4662,-113.5835
746,Gateway Stake Centre,Gateway Stake,Route Unknown,75,2.0,3.0,23.0,30.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
747,Gateway Stake Centre,Gateway Stake,Route Unknown,45,3.0,2.0,210.0,30.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
748,Bearspaw Chapel,Gateway Stake,Route Unknown,120,2.0,0.0,148.0,35.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
749,Riverbend Stake Centre,Riverbend Stake,Route Unknown,60,2.0,0.0,446.0,44.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
750,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,2.0,200.0,35.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
751,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,90,3.0,1.0,403.0,117.0,4.0,Coronation Park Ward,2023,53.5738,-113.5631
752,North Stake Centre,Edmonton North Stake,Route Unknown,105,2.0,0.0,356.0,30.0,3.0,Griesbach Ward,2023,53.606808,-113.504229
753,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,70,2.0,2.0,200.0,40.0,2.0,Clareview Ward,2023,53.5954,-113.4153
754,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,195.0,3.0,2.0,Clareview Ward,2023,53.5954,-113.4153
755,Gateway Stake Centre,Gateway Stake,Route Unknown,55,2.0,0.0,174.0,30.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
756,Bearspaw Chapel,Gateway Stake,Route Unknown,36,4.0,3.0,148.0,26.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
757,Riverbend Stake Centre,Riverbend Stake,Route Unknown,90,1.0,1.0,170.0,24.0,2.0,Terwillegar Park Ward,2023,53.4662,-113.5835
758,Riverbend Stake Centre,Riverbend Stake,Route Unknown,108,2.0,0.0,312.0,70.0,1.0,Terwillegar Park Ward,2023,53.4662,-113.5835
759,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,60,2.0,3.0,120.0,20.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
760,Gateway Stake Centre,Gateway Stake,Route Unknown,36,1.0,0.0,191.0,26.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
761,Gateway Stake Centre,Gateway Stake,Route Unknown,32,2.0,1.0,195.0,23.0,1.0,Crawford Plains Ward,2023,53.441837,-113.406216
762,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,38,2.0,0.0,121.0,15.0,2.0,Clareview Ward,2023,53.5954,-113.4153
763,Gateway Stake Centre,Gateway Stake,Route Unknown,30,2.0,3.0,115.0,13.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
764,Gateway Stake Centre,Gateway Stake,Route Unknown,50,1.0,2.0,260.0,20.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
765,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,36,1.0,1.0,125.0,18.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
766,Gateway Stake Centre,Gateway Stake,Route Unknown,44,2.0,1.0,145.0,36.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
767,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,60,5.0,1.0,40.0,6.0,2.0,Southgate Ward,2023,53.4772,-113.5193
768,Gateway Stake Centre,Gateway Stake,Route Unknown,60,2.0,2.0,214.0,35.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
769,Gateway Stake Centre,Gateway Stake,Route Unknown,15,2.0,0.0,168.0,6.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
770,North Stake Centre,Edmonton North Stake,Route Unknown,60,3.0,2.0,40.0,43.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
771,Riverbend Stake Centre,Riverbend Stake,Route Unknown,50,3.0,1.0,150.0,19.0,2.0,Terwillegar Park Ward,2023,53.4662,-113.5835
772,North Stake Centre,Edmonton North Stake,Route Unknown,52,2.0,1.0,120.0,10.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
773,Riverbend Stake Centre,Riverbend Stake,Route Unknown,44,2.0,1.0,208.0,48.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
774,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,96,4.0,0.0,194.0,42.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
775,Riverbend Stake Centre,Riverbend Stake,Route Unknown,30,1.0,2.0,220.0,40.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
776,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,1.0,100.0,30.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
777,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,5.0,25.0,25.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
778,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,98,2.0,1.0,195.0,55.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
779,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,95,1.0,1.0,180.0,40.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
780,Riverbend Stake Centre,Riverbend Stake,Route Unknown,83,2.0,0.0,210.0,50.0,1.0,Greenfield Ward,2023,53.471073,-113.527505
781,Bearspaw Chapel,Gateway Stake,Route Unknown,42,6.0,5.0,162.0,48.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
782,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,54,2.0,2.0,75.0,17.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
783,Riverbend Stake Centre,Riverbend Stake,Route Unknown,70,2.0,2.0,650.0,65.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
784,Bearspaw Chapel,Gateway Stake,Route Unknown,75,2.0,2.0,100.0,15.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
785,Gateway Stake Centre,Gateway Stake,Route Unknown,50,2.0,3.0,180.0,31.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
786,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,65,2.0,0.0,110.0,6.0,2.0,Clareview Ward,2023,53.5954,-113.4153
787,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,0.0,250.0,30.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
788,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,100,4.0,0.0,195.0,37.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
789,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,45,2.0,1.0,90.0,10.0,2.0,Strathcona Married Student Ward,2023,53.5241,-113.5208
790,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,4.0,0.0,17.0,17.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
791,Gateway Stake Centre,Gateway Stake,Route Unknown,28,2.0,2.0,203.0,34.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
792,Riverbend Stake Centre,Riverbend Stake,Route Unknown,15,1.0,1.0,8.0,15.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
793,Gateway Stake Centre,Gateway Stake,Route Unknown,24,24.0,0.0,146.0,14.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
794,Riverbend Stake Centre,Riverbend Stake,Route Unknown,67,3.0,0.0,313.0,52.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
795,Gateway Stake Centre,Gateway Stake,Route Unknown,90,2.0,3.0,460.0,50.0,3.0,Crawford Plains Ward,2023,53.441837,-113.406216
796,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,57,2.0,2.0,195.0,37.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
797,North Stake Centre,Edmonton North Stake,Route Unknown,30,2.0,0.0,20.0,23.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
798,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,57,2.0,3.0,200.0,28.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
799,North Stake Centre,Edmonton North Stake,Route Unknown,30,2.0,2.0,100.0,19.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
800,Riverbend Stake Centre,Riverbend Stake,Route Unknown,88,2.0,0.0,80.0,15.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
801,Riverbend Stake Centre,Riverbend Stake,Route Unknown,60,2.0,3.0,21.0,27.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
802,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,60,2.0,2.0,150.0,9.0,2.0,Southgate Ward,2023,53.4772,-113.5193
803,Gateway Stake Centre,Gateway Stake,Route Unknown,35,2.0,3.0,30.0,30.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
804,Riverbend Stake Centre,Riverbend Stake,Route Unknown,60,1.0,5.0,350.0,70.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
805,Bearspaw Chapel,Gateway Stake,Route Unknown,60,2.0,20.0,147.0,20.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
806,Gateway Stake Centre,Gateway Stake,Route Unknown,31,2.0,4.0,190.0,14.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
807,Gateway Stake Centre,Gateway Stake,Route Unknown,90,2.0,0.0,243.0,38.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
808,Bearspaw Chapel,YSA Stake,Route Unknown,58,1.0,2.0,110.0,50.0,2.0,Windsor Park YSA Ward,2023,53.5283,-113.5344
809,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,60,1.0,1.0,100.0,15.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
810,Gateway Stake Centre,Gateway Stake,Route Unknown,18,2.0,0.0,136.0,6.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
811,Riverbend Stake Centre,Riverbend Stake,Route Unknown,65,2.0,1.0,179.0,35.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
812,Riverbend Stake Centre,Riverbend Stake,Route Unknown,30,2.0,0.0,150.0,8.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
813,Gateway Stake Centre,Gateway Stake,Route Unknown,34,2.0,4.0,198.0,25.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
814,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,114,1.0,0.0,300.0,38.0,2.0,Clareview Ward,2023,53.5954,-113.4153
815,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,185.0,28.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
816,North Stake Centre,Edmonton North Stake,Route Unknown,45,2.0,1.0,150.0,21.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
817,Riverbend Stake Centre,Riverbend Stake,Route Unknown,40,1.0,1.0,158.0,30.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
818,Riverbend Stake Centre,Riverbend Stake,Route Unknown,60,2.0,1.0,220.0,46.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
819,Gateway Stake Centre,Gateway Stake,Route Unknown,45,2.0,1.0,230.0,25.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
820,Gateway Stake Centre,Gateway Stake,Route Unknown,53,2.0,1.0,228.0,40.0,1.0,Ellerslie Ward,2023,53.428545,-113.457731
821,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,55,1.0,2.0,143.0,31.0,2.0,Southgate Ward,2023,53.4772,-113.5193
822,Bearspaw Chapel,Gateway Stake,Route Unknown,40,2.0,4.0,169.0,24.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
823,Gateway Stake Centre,Gateway Stake,Route Unknown,30,2.0,0.0,144.0,8.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
824,North Stake Centre,Edmonton North Stake,Route Unknown,75,2.0,1.0,50.0,17.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
825,Gateway Stake Centre,Gateway Stake,Route Unknown,30,2.0,4.0,207.0,40.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
826,Riverbend Stake Centre,Riverbend Stake,Route Unknown,80,2.0,0.0,200.0,44.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
827,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,60,1.0,0.0,280.0,19.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
828,Gateway Stake Centre,Gateway Stake,Route Unknown,10,2.0,0.0,150.0,25.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
829,North Stake Centre,Edmonton North Stake,Route Unknown,60,1.0,3.0,100.0,30.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
830,Bearspaw Chapel,Gateway Stake,Route Unknown,45,4.0,0.0,155.0,24.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
831,Riverbend Stake Centre,Riverbend Stake,Route Unknown,109,2.0,4.0,45.0,45.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
832,Riverbend Stake Centre,Riverbend Stake,Route Unknown,100,2.0,1.0,400.0,80.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
833,Gateway Stake Centre,Gateway Stake,Route Unknown,180,2.0,0.0,220.0,24.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
834,Gateway Stake Centre,Gateway Stake,Route Unknown,180,1.0,2.0,215.0,32.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
835,North Stake Centre,Edmonton North Stake,Route Unknown,30,1.0,0.0,40.0,5.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
836,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,180,2.0,4.0,195.0,22.0,2.0,Clareview Ward,2023,53.5954,-113.4153
837,Riverbend Stake Centre,Riverbend Stake,Route Unknown,40,3.0,0.0,159.0,14.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
838,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,35,2.0,0.0,110.0,14.0,2.0,Strathcona Married Student Ward,2023,53.5241,-113.5208
839,Riverbend Stake Centre,Riverbend Stake,Route Unknown,96,3.0,1.0,150.0,34.0,2.0,Terwillegar Park Ward,2023,53.4662,-113.5835
840,Riverbend Stake Centre,Riverbend Stake,Route Unknown,25,2.0,0.0,159.0,12.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
841,North Stake Centre,Edmonton North Stake,Route Unknown,90,1.0,4.0,236.0,22.0,2.0,Namao Ward,2023,53.7242,-113.4799
842,Riverbend Stake Centre,Riverbend Stake,Route Unknown,30,2.0,2.0,207.0,35.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
843,North Stake Centre,Edmonton North Stake,Route Unknown,30,1.0,5.0,120.0,16.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
844,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,4.0,400.0,40.0,2.0,Clareview Ward,2023,53.5954,-113.4153
845,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,60,4.0,0.0,80.0,8.0,2.0,Southgate Ward,2023,53.4772,-113.5193
846,Gateway Stake Centre,Gateway Stake,Route Unknown,58,2.0,3.0,23.0,23.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
847,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,180,1.0,3.0,170.0,11.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
848,Gateway Stake Centre,Gateway Stake,Route Unknown,30,3.0,1.0,123.0,28.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
849,Riverbend Stake Centre,Riverbend Stake,Route Unknown,180,4.0,0.0,100.0,25.0,2.0,Terwillegar Park Ward,2023,53.4662,-113.5835
850,North Stake Centre,Edmonton North Stake,Route Unknown,30,3.0,0.0,75.0,16.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
851,Riverbend Stake Centre,Riverbend Stake,Route Unknown,30,2.0,2.0,196.0,30.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
852,Gateway Stake Centre,Gateway Stake,Route Unknown,52,1.0,3.0,200.0,32.0,1.0,Crawford Plains Ward,2023,53.441837,-113.406216
853,Gateway Stake Centre,Gateway Stake,Route Unknown,180,1.0,1.0,900.0,120.0,6.0,Crawford Plains Ward,2023,53.441837,-113.406216
854,Gateway Stake Centre,Gateway Stake,Route Unknown,90,2.0,3.0,380.0,40.0,3.0,Crawford Plains Ward,2023,53.441837,-113.406216
855,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,60,2.0,0.0,266.0,44.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
856,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,180,2.0,0.0,100.0,16.0,2.0,Clareview Ward,2023,53.5954,-113.4153
857,Bearspaw Chapel,Gateway Stake,Route Unknown,180,2.0,1.0,158.0,20.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
858,Gateway Stake Centre,Gateway Stake,Route Unknown,180,1.0,1.0,26.0,25.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
859,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,2.0,195.0,39.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
860,Gateway Stake Centre,Gateway Stake,Route Unknown,180,2.0,1.0,168.0,44.0,1.0,Lee Ridge Ward,2023,53.469593,-113.444355
861,Gateway Stake Centre,Gateway Stake,Route Unknown,60,2.0,3.0,128.0,24.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
862,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,50,2.0,1.0,256.0,25.0,2.0,Southgate Ward,2023,53.4772,-113.5193
863,Bearspaw Chapel,Gateway Stake,Route Unknown,85,2.0,0.0,125.0,44.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
864,Bearspaw Chapel,Gateway Stake,Route Unknown,32,2.0,3.0,207.0,22.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
865,Gateway Stake Centre,Gateway Stake,Route Unknown,55,2.0,0.0,25.0,20.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
866,Gateway Stake Centre,Gateway Stake,Route Unknown,100,2.0,2.0,501.0,67.0,3.0,Ellerslie Ward,2023,53.428545,-113.457731
867,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,180,2.0,5.0,115.0,15.0,2.0,Southgate Ward,2023,53.4772,-113.5193
868,Gateway Stake Centre,Gateway Stake,Route Unknown,180,2.0,0.0,140.0,36.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
869,Gateway Stake Centre,Gateway Stake,Route Unknown,21,2.0,1.0,114.0,16.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
870,Gateway Stake Centre,Gateway Stake,Route Unknown,23,3.0,1.0,180.0,18.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
871,Gateway Stake Centre,Gateway Stake,Route Unknown,40,2.0,0.0,267.0,27.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
872,Bearspaw Chapel,Gateway Stake,Route Unknown,50,3.0,3.0,206.0,37.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
873,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,60,2.0,0.0,195.0,12.0,2.0,Southgate Ward,2023,53.4772,-113.5193
874,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,65,3.0,0.0,450.0,150.0,4.0,Clareview Ward,2023,53.5954,-113.4153
875,Gateway Stake Centre,Gateway Stake,Route Unknown,27,3.0,1.0,184.0,28.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
876,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,2.0,135.0,25.0,2.0,Clareview Ward,2023,53.5954,-113.4153
877,North Stake Centre,Edmonton North Stake,Route Unknown,180,1.0,0.0,40.0,7.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
878,Gateway Stake Centre,Gateway Stake,Route Unknown,90,2.0,0.0,460.0,28.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
879,Gateway Stake Centre,Gateway Stake,Route Unknown,180,2.0,0.0,153.0,17.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
880,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,180,1.0,2.0,110.0,20.0,2.0,Clareview Ward,2023,53.5954,-113.4153
881,Gateway Stake Centre,Gateway Stake,Route Unknown,180,2.0,4.0,492.0,59.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
882,Gateway Stake Centre,Gateway Stake,Route Unknown,78,2.0,0.0,235.0,17.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
883,Riverbend Stake Centre,Riverbend Stake,Route Unknown,137,2.0,1.0,482.0,100.0,3.0,Rabbit Hill Ward,2023,53.4256,-113.5464
884,Gateway Stake Centre,Gateway Stake,Route Unknown,65,2.0,3.0,65.0,65.0,3.0,Ellerslie Ward,2023,53.428545,-113.457731
885,Gateway Stake Centre,Gateway Stake,Route Unknown,180,26.0,3.0,19.0,25.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
886,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,50.0,15.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
887,Riverbend Stake Centre,Riverbend Stake,Route Unknown,65,2.0,0.0,174.0,19.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
888,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,180,1.0,2.0,195.0,20.0,2.0,Clareview Ward,2023,53.5954,-113.4153
889,Gateway Stake Centre,Gateway Stake,Route Unknown,35,2.0,2.0,216.0,36.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
890,North Stake Centre,Edmonton North Stake,Route Unknown,70,1.0,1.0,135.0,14.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
891,Gateway Stake Centre,Gateway Stake,Route Unknown,180,2.0,2.0,366.0,60.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
892,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,3.0,1.0,195.0,30.0,2.0,Clareview Ward,2023,53.5954,-113.4153
893,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,180,2.0,0.0,75.0,35.0,3.0,Londonderry Ward,2023,53.5894,-113.4591
894,Gateway Stake Centre,Gateway Stake,Route Unknown,28,1.0,2.0,244.0,24.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
895,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,2.0,165.0,60.0,3.0,Clareview Ward,2023,53.5954,-113.4153
896,North Stake Centre,Edmonton North Stake,Route Unknown,35,1.0,3.0,272.0,30.0,2.0,Namao Ward,2023,53.7242,-113.4799
897,Riverbend Stake Centre,Riverbend Stake,Route Unknown,120,2.0,8.0,1420.0,200.0,8.0,Rabbit Hill Ward,2023,53.4256,-113.5464
898,Bearspaw Chapel,Gateway Stake,Route Unknown,180,2.0,2.0,250.0,20.0,2.0,Beaumont Ward,2023,53.352,-113.4157
899,Gateway Stake Centre,Gateway Stake,Route Unknown,38,2.0,3.0,60.0,25.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
900,Bearspaw Chapel,Gateway Stake,Route Unknown,180,1.0,4.0,160.0,30.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
901,Bearspaw Chapel,Gateway Stake,Route Unknown,45,2.0,4.0,154.0,18.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
902,North Stake Centre,Edmonton North Stake,Route Unknown,180,2.0,4.0,500.0,80.0,5.0,Griesbach Ward,2023,53.606808,-113.504229
903,Bearspaw Chapel,Gateway Stake,Route Unknown,180,1.0,1.0,161.0,20.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
904,Gateway Stake Centre,Gateway Stake,Route Unknown,180,3.0,5.0,654.0,66.0,3.0,Silver Berry Ward,2023,53.461159,-113.381406
905,Riverbend Stake Centre,Riverbend Stake,Route Unknown,60,2.0,0.0,137.0,20.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
906,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,180,2.0,4.0,195.0,45.0,2.0,Southgate Ward,2023,53.4772,-113.5193
907,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,45,1.0,1.0,195.0,12.0,1.0,Londonderry Ward,2023,53.5894,-113.4591
908,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,0.0,225.0,55.0,2.0,Clareview Ward,2023,53.5954,-113.4153
909,Gateway Stake Centre,Gateway Stake,Route Unknown,50,1.0,2.0,113.0,17.0,1.0,Crawford Plains Ward,2023,53.441837,-113.406216
910,Bearspaw Chapel,Gateway Stake,Route Unknown,45,2.0,3.0,240.0,50.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
911,Bearspaw Chapel,Gateway Stake,Route Unknown,30,1.0,1.0,195.0,23.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
912,Gateway Stake Centre,Gateway Stake,Route Unknown,63,2.0,3.0,200.0,30.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
913,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,218.0,5.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
914,Bearspaw Chapel,Gateway Stake,Route Unknown,32,2.0,1.0,139.0,21.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
915,Gateway Stake Centre,Gateway Stake,Route Unknown,60,2.0,4.0,236.0,50.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
916,Riverbend Stake Centre,Riverbend Stake,Route Unknown,65,1.0,1.0,208.0,43.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
917,Gateway Stake Centre,Gateway Stake,Route Unknown,48,2.0,3.0,118.0,25.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
918,Gateway Stake Centre,Gateway Stake,Route Unknown,180,1.0,0.0,266.0,29.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
919,Gateway Stake Centre,Gateway Stake,Route Unknown,180,2.0,0.0,239.0,40.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
920,Gateway Stake Centre,Gateway Stake,Route Unknown,180,2.0,2.0,585.0,85.0,3.0,Silver Berry Ward,2023,53.461159,-113.381406
921,Bearspaw Chapel,Gateway Stake,Route Unknown,90,2.0,1.0,165.0,30.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
922,Gateway Stake Centre,Gateway Stake,Route Unknown,25,1.0,1.0,201.0,18.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
923,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,61,1.0,0.0,195.0,13.0,2.0,Strathcona Married Student Ward,2023,53.5241,-113.5208
924,Gateway Stake Centre,Gateway Stake,Route Unknown,30,2.0,2.0,151.0,20.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
925,North Stake Centre,Edmonton North Stake,Route Unknown,30,2.0,0.0,552.0,93.0,3.0,Griesbach Ward,2023,53.606808,-113.504229
926,Gateway Stake Centre,Gateway Stake,Route Unknown,30,2.0,3.0,118.0,22.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
927,Riverbend Stake Centre,Riverbend Stake,Route Unknown,90,4.0,0.0,400.0,80.0,4.0,Drayton Valley Ward,2023,53.2234,-114.9744
928,Gateway Stake Centre,Gateway Stake,Route Unknown,45,2.0,2.0,342.0,29.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
